X,00:04:13:647,top,top,ackin,1,sender
Y,00:04:13:647,sender,sender,ackreceived,1,top
Y,00:04:13:647,top,top,ackreceived,1,Root
Y,00:04:23:647,sender,sender,dataout,80,top
Y,00:04:23:647,sender,sender,packetsent,8,top
X,00:04:23:647,top,top,in1,80,network
Y,00:04:23:647,top,top,packetsent,8,Root
X,00:04:23:647,network,network,in,80,subnet1
Y,00:04:25:351,subnet1,subnet1,out,80,network
Y,00:04:25:351,network,network,out1,80,top
X,00:04:25:351,top,top,in,80,receiver
Y,00:04:35:351,receiver,receiver,out,0,top
X,00:04:35:351,top,top,in2,0,network
X,00:04:35:351,network,network,in,0,subnet2
Y,00:04:37:770,subnet2,subnet2,out,0,network
Y,00:04:37:770,network,network,out2,0,top
X,00:04:37:770,top,top,ackin,0,sender
Y,00:04:37:770,sender,sender,ackreceived,0,top
Y,00:04:37:770,top,top,ackreceived,0,Root
Y,00:04:47:770,sender,sender,dataout,91,top
Y,00:04:47:770,sender,sender,packetsent,9,top
X,00:04:47:770,top,top,in1,91,network
Y,00:04:47:770,top,top,packetsent,9,Root
X,00:04:47:770,network,network,in,91,subnet1
Y,00:04:50:996,subnet1,subnet1,out,91,network
Y,00:04:50:996,network,network,out1,91,top
X,00:04:50:996,top,top,in,91,receiver
Y,00:05:00:996,receiver,receiver,out,1,top
X,00:05:00:996,top,top,in2,1,network
X,00:05:00:996,network,network,in,1,subnet2
Y,00:05:05:864,subnet2,subnet2,out,1,network
Y,00:05:05:864,network,network,out2,1,top
X,00:05:05:864,top,top,ackin,1,sender
Y,00:05:05:864,sender,sender,ackreceived,1,top
Y,00:05:05:864,top,top,ackreceived,1,Root
Y,00:05:15:864,sender,sender,dataout,100,top
Y,00:05:15:864,sender,sender,packetsent,10,top
X,00:05:15:864,top,top,in1,100,network
Y,00:05:15:864,top,top,packetsent,10,Root
X,00:05:15:864,network,network,in,100,subnet1
Y,00:05:18:590,subnet1,subnet1,out,100,network
Y,00:05:18:590,network,network,out1,100,top
X,00:05:18:590,top,top,in,100,receiver
Y,00:05:28:590,receiver,receiver,out,0,top
X,00:05:28:590,top,top,in2,0,network
X,00:05:28:590,network,network,in,0,subnet2
Y,00:05:33:212,subnet2,subnet2,out,0,network
Y,00:05:33:212,network,network,out2,0,top
X,00:05:33:212,top,top,ackin,0,sender
Y,00:05:33:212,sender,sender,ackreceived,0,top
Y,00:05:33:212,top,top,ackreceived,0,Root
Y,00:05:43:212,sender,sender,dataout,111,top
Y,00:05:43:212,sender,sender,packetsent,11,top
X,00:05:43:212,top,top,in1,111,network
Y,00:05:43:212,top,top,packetsent,11,Root
X,00:05:43:212,network,network,in,111,subnet1
Y,00:05:45:594,subnet1,subnet1,out,111,network
Y,00:05:45:594,network,network,out1,111,top
X,00:05:45:594,top,top,in,111,receiver
Y,00:05:55:594,receiver,receiver,out,1,top
X,00:05:55:594,top,top,in2,1,network
X,00:05:55:594,network,network,in,1,subnet2
Y,00:05:58:706,subnet2,subnet2,out,1,network
Y,00:05:58:706,network,network,out2,1,top
X,00:05:58:706,top,top,ackin,1,sender
Y,00:05:58:706,sender,sender,ackreceived,1,top
Y,00:05:58:706,top,top,ackreceived,1,Root
Y,00:06:08:706,sender,sender,dataout,120,top
Y,00:06:08:706,sender,sender,packetsent,12,top
X,00:06:08:706,top,top,in1,120,network
Y,00:06:08:706,top,top,packetsent,12,Root
X,00:06:08:706,network,network,in,120,subnet1
Y,00:06:11:543,subnet1,subnet1,out,120,network
Y,00:06:11:543,network,network,out1,120,top
X,00:06:11:543,top,top,in,120,receiver
Y,00:06:21:543,receiver,receiver,out,0,top
X,00:06:21:543,top,top,in2,0,network
X,00:06:21:543,network,network,in,0,subnet2
Y,00:06:24:857,subnet2,subnet2,out,0,network
Y,00:06:24:857,network,network,out2,0,top
X,00:06:24:857,top,top,ackin,0,sender
Y,00:06:24:857,sender,sender,ackreceived,0,top
Y,00:06:24:857,top,top,ackreceived,0,Root
Y,00:06:34:857,sender,sender,dataout,131,top
Y,00:06:34:857,sender,sender,packetsent,13,top
X,00:06:34:857,top,top,in1,131,network
Y,00:06:34:857,top,top,packetsent,13,Root
X,00:06:34:857,network,network,in,131,subnet1
Y,00:06:36:356,subnet1,subnet1,out,131,network
Y,00:06:36:356,network,network,out1,131,top
X,00:06:36:356,top,top,in,131,receiver
Y,00:06:46:356,receiver,receiver,out,1,top
X,00:06:46:356,top,top,in2,1,network
X,00:06:46:356,network,network,in,1,subnet2
Y,00:06:49:584,subnet2,subnet2,out,1,network
Y,00:06:49:584,network,network,out2,1,top
X,00:06:49:584,top,top,ackin,1,sender
Y,00:06:49:584,sender,sender,ackreceived,1,top
Y,00:06:49:584,top,top,ackreceived,1,Root
Y,00:06:59:584,sender,sender,dataout,140,top
Y,00:06:59:584,sender,sender,packetsent,14,top
X,00:06:59:584,top,top,in1,140,network
Y,00:06:59:584,top,top,packetsent,14,Root
X,00:06:59:584,network,network,in,140,subnet1
Y,00:07:03:120,subnet1,subnet1,out,140,network
Y,00:07:03:120,network,network,out1,140,top
X,00:07:03:120,top,top,in,140,receiver
Y,00:07:13:120,receiver,receiver,out,0,top
X,00:07:13:120,top,top,in2,0,network
X,00:07:13:120,network,network,in,0,subnet2
Y,00:07:17:109,subnet2,subnet2,out,0,network
Y,00:07:17:109,network,network,out2,0,top
X,00:07:17:109,top,top,ackin,0,sender
Y,00:07:17:109,sender,sender,ackreceived,0,top
Y,00:07:17:109,top,top,ackreceived,0,Root
Y,00:07:27:109,sender,sender,dataout,151,top
Y,00:07:27:109,sender,sender,packetsent,15,top
X,00:07:27:109,top,top,in1,151,network
Y,00:07:27:109,top,top,packetsent,15,Root
X,00:07:27:109,network,network,in,151,subnet1
Y,00:07:29:641,subnet1,subnet1,out,151,network
Y,00:07:29:641,network,network,out1,151,top
X,00:07:29:641,top,top,in,151,receiver
Y,00:07:39:641,receiver,receiver,out,1,top
X,00:07:39:641,top,top,in2,1,network
X,00:07:39:641,network,network,in,1,subnet2
Y,00:07:42:625,subnet2,subnet2,out,1,network
Y,00:07:42:625,network,network,out2,1,top
X,00:07:42:625,top,top,ackin,1,sender
Y,00:07:42:625,sender,sender,ackreceived,1,top
Y,00:07:42:625,top,top,ackreceived,1,Root
Y,00:07:52:625,sender,sender,dataout,160,top
Y,00:07:52:625,sender,sender,packetsent,16,top
X,00:07:52:625,top,top,in1,160,network
Y,00:07:52:625,top,top,packetsent,16,Root
X,00:07:52:625,network,network,in,160,subnet1
Y,00:07:54:278,subnet1,subnet1,out,160,network
Y,00:07:54:278,network,network,out1,160,top
X,00:07:54:278,top,top,in,160,receiver
Y,00:08:04:278,receiver,receiver,out,0,top
X,00:08:04:278,top,top,in2,0,network
X,00:08:04:278,network,network,in,0,subnet2
Y,00:08:07:797,subnet2,subnet2,out,0,network
Y,00:08:07:797,network,network,out2,0,top
X,00:08:07:797,top,top,ackin,0,sender
Y,00:08:07:797,sender,sender,ackreceived,0,top
Y,00:08:07:797,top,top,ackreceived,0,Root
Y,00:08:17:797,sender,sender,dataout,171,top
Y,00:08:17:797,sender,sender,packetsent,17,top
X,00:08:17:797,top,top,in1,171,network
Y,00:08:17:797,top,top,packetsent,17,Root
X,00:08:17:797,network,network,in,171,subnet1
Y,00:08:21:926,subnet1,subnet1,out,171,network
Y,00:08:21:926,network,network,out1,171,top
X,00:08:21:926,top,top,in,171,receiver
Y,00:08:31:926,receiver,receiver,out,1,top
X,00:08:31:926,top,top,in2,1,network
X,00:08:31:926,network,network,in,1,subnet2
Y,00:08:34:469,subnet2,subnet2,out,1,network
Y,00:08:34:469,network,network,out2,1,top
X,00:08:34:469,top,top,ackin,1,sender
Y,00:08:34:469,sender,sender,ackreceived,1,top
Y,00:08:34:469,top,top,ackreceived,1,Root
Y,00:08:44:469,sender,sender,dataout,180,top
Y,00:08:44:469,sender,sender,packetsent,18,top
X,00:08:44:469,top,top,in1,180,network
Y,00:08:44:469,top,top,packetsent,18,Root
X,00:08:44:469,network,network,in,180,subnet1
Y,00:09:14:469,sender,sender,dataout,180,top
Y,00:09:14:469,sender,sender,packetsent,18,top
X,00:09:14:469,top,top,in1,180,network
Y,00:09:14:469,top,top,packetsent,18,Root
X,00:09:14:469,network,network,in,180,subnet1
Y,00:09:16:657,subnet1,subnet1,out,180,network
Y,00:09:16:657,network,network,out1,180,top
X,00:09:16:657,top,top,in,180,receiver
Y,00:09:26:657,receiver,receiver,out,0,top
X,00:09:26:657,top,top,in2,0,network
X,00:09:26:657,network,network,in,0,subnet2
Y,00:09:31:234,subnet2,subnet2,out,0,network
Y,00:09:31:234,network,network,out2,0,top
X,00:09:31:234,top,top,ackin,0,sender
Y,00:09:31:234,sender,sender,ackreceived,0,top
Y,00:09:31:234,top,top,ackreceived,0,Root
Y,00:09:41:234,sender,sender,dataout,191,top
Y,00:09:41:234,sender,sender,packetsent,19,top
X,00:09:41:234,top,top,in1,191,network
Y,00:09:41:234,top,top,packetsent,19,Root
X,00:09:41:234,network,network,in,191,subnet1
Y,00:09:43:515,subnet1,subnet1,out,191,network
Y,00:09:43:515,network,network,out1,191,top
X,00:09:43:515,top,top,in,191,receiver
Y,00:09:53:515,receiver,receiver,out,1,top
X,00:09:53:515,top,top,in2,1,network
X,00:09:53:515,network,network,in,1,subnet2
Y,00:09:53:818,subnet2,subnet2,out,1,network
Y,00:09:53:818,network,network,out2,1,top
X,00:09:53:818,top,top,ackin,1,sender
Y,00:09:53:818,sender,sender,ackreceived,1,top
Y,00:09:53:818,top,top,ackreceived,1,Root
Y,00:10:03:818,sender,sender,dataout,200,top
Y,00:10:03:818,sender,sender,packetsent,20,top
X,00:10:03:818,top,top,in1,200,network
Y,00:10:03:818,top,top,packetsent,20,Root
X,00:10:03:818,network,network,in,200,subnet1
Y,00:10:07:096,subnet1,subnet1,out,200,network
Y,00:10:07:096,network,network,out1,200,top
X,00:10:07:096,top,top,in,200,receiver
Y,00:10:17:096,receiver,receiver,out,0,top
X,00:10:17:096,top,top,in2,0,network
X,00:10:17:096,network,network,in,0,subnet2
Y,00:10:21:316,subnet2,subnet2,out,0,network
Y,00:10:21:316,network,network,out2,0,top
X,00:10:21:316,top,top,ackin,0,sender
Y,00:10:21:316,sender,sender,ackreceived,0,top
Y,00:10:21:316,top,top,ackreceived,0,Root
