Y,00:00:00:000,fire,0-0,out,0,01
Y,00:00:00:000,fire,0-1,out,0,01
Y,00:00:00:000,fire,0-2,out,0,01
Y,00:00:00:000,fire,0-3,out,0,01
Y,00:00:00:000,fire,0-4,out,0,01
Y,00:00:00:000,fire,0-5,out,0,01
Y,00:00:00:000,fire,0-6,out,0,01
Y,00:00:00:000,fire,0-7,out,0,01
Y,00:00:00:000,fire,0-8,out,0,01
Y,00:00:00:000,fire,0-9,out,0,01
Y,00:00:00:000,fire,0-10,out,0,01
Y,00:00:00:000,fire,0-11,out,0,01
Y,00:00:00:000,fire,0-12,out,0,01
Y,00:00:00:000,fire,0-13,out,0,01
Y,00:00:00:000,fire,0-14,out,0,01
Y,00:00:00:000,fire,0-15,out,0,01
Y,00:00:00:000,fire,0-16,out,0,01
Y,00:00:00:000,fire,0-17,out,0,01
Y,00:00:00:000,fire,0-18,out,0,01
Y,00:00:00:000,fire,0-19,out,0,01
Y,00:00:00:000,fire,0-20,out,0,01
Y,00:00:00:000,fire,0-21,out,0,01
Y,00:00:00:000,fire,0-22,out,0,01
Y,00:00:00:000,fire,0-23,out,0,01
Y,00:00:00:000,fire,0-24,out,0,01
Y,00:00:00:000,fire,0-25,out,0,01
Y,00:00:00:000,fire,0-26,out,0,01
Y,00:00:00:000,fire,0-27,out,0,01
Y,00:00:00:000,fire,0-28,out,0,01
Y,00:00:00:000,fire,0-29,out,0,01
Y,00:00:00:000,fire,1-0,out,0,01
Y,00:00:00:000,fire,1-1,out,0,01
Y,00:00:00:000,fire,1-2,out,0,01
Y,00:00:00:000,fire,1-3,out,0,01
Y,00:00:00:000,fire,1-4,out,0,01
Y,00:00:00:000,fire,1-5,out,0,01
Y,00:00:00:000,fire,1-6,out,0,01
Y,00:00:00:000,fire,1-7,out,0,01
Y,00:00:00:000,fire,1-8,out,0,01
Y,00:00:00:000,fire,1-9,out,0,01
Y,00:00:00:000,fire,1-10,out,0,01
Y,00:00:00:000,fire,1-11,out,0,01
Y,00:00:00:000,fire,1-12,out,0,01
Y,00:00:00:000,fire,1-13,out,0,01
Y,00:00:00:000,fire,1-14,out,0,01
Y,00:00:00:000,fire,1-15,out,0,01
Y,00:00:00:000,fire,1-16,out,0,01
Y,00:00:00:000,fire,1-17,out,0,01
Y,00:00:00:000,fire,1-18,out,0,01
Y,00:00:00:000,fire,1-19,out,0,01
Y,00:00:00:000,fire,1-20,out,0,01
Y,00:00:00:000,fire,1-21,out,0,01
Y,00:00:00:000,fire,1-22,out,0,01
Y,00:00:00:000,fire,1-23,out,0,01
Y,00:00:00:000,fire,1-24,out,0,01
Y,00:00:00:000,fire,1-25,out,0,01
Y,00:00:00:000,fire,1-26,out,0,01
Y,00:00:00:000,fire,1-27,out,0,01
Y,00:00:00:000,fire,1-28,out,0,01
Y,00:00:00:000,fire,1-29,out,0,01
Y,00:00:00:000,fire,2-0,out,0,01
Y,00:00:00:000,fire,2-1,out,0,01
Y,00:00:00:000,fire,2-2,out,0,01
Y,00:00:00:000,fire,2-3,out,0,01
Y,00:00:00:000,fire,2-4,out,0,01
Y,00:00:00:000,fire,2-5,out,0,01
Y,00:00:00:000,fire,2-6,out,0,01
Y,00:00:00:000,fire,2-7,out,0,01
Y,00:00:00:000,fire,2-8,out,0,01
Y,00:00:00:000,fire,2-9,out,0,01
Y,00:00:00:000,fire,2-10,out,0,01
Y,00:00:00:000,fire,2-11,out,0,01
Y,00:00:00:000,fire,2-12,out,0,01
Y,00:00:00:000,fire,2-13,out,0,01
Y,00:00:00:000,fire,2-14,out,0,01
Y,00:00:00:000,fire,2-15,out,0,01
Y,00:00:00:000,fire,2-16,out,0,01
Y,00:00:00:000,fire,2-17,out,0,01
Y,00:00:00:000,fire,2-18,out,0,01
Y,00:00:00:000,fire,2-19,out,0,01
Y,00:00:00:000,fire,2-20,out,0,01
Y,00:00:00:000,fire,2-21,out,0,01
Y,00:00:00:000,fire,2-22,out,0,01
Y,00:00:00:000,fire,2-23,out,0,01
Y,00:00:00:000,fire,2-24,out,0,01
Y,00:00:00:000,fire,2-25,out,0,01
Y,00:00:00:000,fire,2-26,out,0,01
Y,00:00:00:000,fire,2-27,out,0,01
Y,00:00:00:000,fire,2-28,out,0,01
Y,00:00:00:000,fire,2-29,out,0,01
Y,00:00:00:000,fire,3-0,out,0,01
Y,00:00:00:000,fire,3-1,out,0,01
Y,00:00:00:000,fire,3-2,out,0,01
Y,00:00:00:000,fire,3-3,out,0,01
Y,00:00:00:000,fire,3-4,out,0,01
Y,00:00:00:000,fire,3-5,out,0,01
Y,00:00:00:000,fire,3-6,out,0,01
Y,00:00:00:000,fire,3-7,out,0,01
Y,00:00:00:000,fire,3-8,out,0,01
Y,00:00:00:000,fire,3-9,out,0,01
Y,00:00:00:000,fire,3-10,out,0,01
Y,00:00:00:000,fire,3-11,out,0,01
Y,00:00:00:000,fire,3-12,out,0,01
Y,00:00:00:000,fire,3-13,out,0,01
Y,00:00:00:000,fire,3-14,out,0,01
Y,00:00:00:000,fire,3-15,out,0,01
Y,00:00:00:000,fire,3-16,out,0,01
Y,00:00:00:000,fire,3-17,out,0,01
Y,00:00:00:000,fire,3-18,out,0,01
Y,00:00:00:000,fire,3-19,out,0,01
Y,00:00:00:000,fire,3-20,out,0,01
Y,00:00:00:000,fire,3-21,out,0,01
Y,00:00:00:000,fire,3-22,out,0,01
Y,00:00:00:000,fire,3-23,out,0,01
Y,00:00:00:000,fire,3-24,out,0,01
Y,00:00:00:000,fire,3-25,out,0,01
Y,00:00:00:000,fire,3-26,out,0,01
Y,00:00:00:000,fire,3-27,out,0,01
Y,00:00:00:000,fire,3-28,out,0,01
Y,00:00:00:000,fire,3-29,out,0,01
Y,00:00:00:000,fire,4-0,out,0,01
Y,00:00:00:000,fire,4-1,out,0,01
Y,00:00:00:000,fire,4-2,out,0,01
Y,00:00:00:000,fire,4-3,out,0,01
Y,00:00:00:000,fire,4-4,out,0,01
Y,00:00:00:000,fire,4-5,out,0,01
Y,00:00:00:000,fire,4-6,out,0,01
Y,00:00:00:000,fire,4-7,out,0,01
Y,00:00:00:000,fire,4-8,out,0,01
Y,00:00:00:000,fire,4-9,out,0,01
Y,00:00:00:000,fire,4-10,out,0,01
Y,00:00:00:000,fire,4-11,out,0,01
Y,00:00:00:000,fire,4-12,out,0,01
Y,00:00:00:000,fire,4-13,out,0,01
Y,00:00:00:000,fire,4-14,out,0,01
Y,00:00:00:000,fire,4-15,out,0,01
Y,00:00:00:000,fire,4-16,out,0,01
Y,00:00:00:000,fire,4-17,out,0,01
Y,00:00:00:000,fire,4-18,out,0,01
Y,00:00:00:000,fire,4-19,out,0,01
Y,00:00:00:000,fire,4-20,out,0,01
Y,00:00:00:000,fire,4-21,out,0,01
Y,00:00:00:000,fire,4-22,out,0,01
Y,00:00:00:000,fire,4-23,out,0,01
Y,00:00:00:000,fire,4-24,out,0,01
Y,00:00:00:000,fire,4-25,out,0,01
Y,00:00:00:000,fire,4-26,out,0,01
Y,00:00:00:000,fire,4-27,out,0,01
Y,00:00:00:000,fire,4-28,out,0,01
Y,00:00:00:000,fire,4-29,out,0,01
Y,00:00:00:000,fire,5-0,out,0,01
Y,00:00:00:000,fire,5-1,out,0,01
Y,00:00:00:000,fire,5-2,out,0,01
Y,00:00:00:000,fire,5-3,out,0,01
Y,00:00:00:000,fire,5-4,out,0,01
Y,00:00:00:000,fire,5-5,out,1,01
Y,00:00:00:000,fire,5-6,out,0,01
Y,00:00:00:000,fire,5-7,out,0,01
Y,00:00:00:000,fire,5-8,out,0,01
Y,00:00:00:000,fire,5-9,out,0,01
Y,00:00:00:000,fire,5-10,out,0,01
Y,00:00:00:000,fire,5-11,out,0,01
Y,00:00:00:000,fire,5-12,out,0,01
Y,00:00:00:000,fire,5-13,out,0,01
Y,00:00:00:000,fire,5-14,out,0,01
Y,00:00:00:000,fire,5-15,out,0,01
Y,00:00:00:000,fire,5-16,out,0,01
Y,00:00:00:000,fire,5-17,out,0,01
Y,00:00:00:000,fire,5-18,out,0,01
Y,00:00:00:000,fire,5-19,out,0,01
Y,00:00:00:000,fire,5-20,out,0,01
Y,00:00:00:000,fire,5-21,out,0,01
Y,00:00:00:000,fire,5-22,out,0,01
Y,00:00:00:000,fire,5-23,out,0,01
Y,00:00:00:000,fire,5-24,out,0,01
Y,00:00:00:000,fire,5-25,out,0,01
Y,00:00:00:000,fire,5-26,out,0,01
Y,00:00:00:000,fire,5-27,out,0,01
Y,00:00:00:000,fire,5-28,out,0,01
Y,00:00:00:000,fire,5-29,out,0,01
Y,00:00:00:000,fire,6-0,out,0,01
Y,00:00:00:000,fire,6-1,out,0,01
Y,00:00:00:000,fire,6-2,out,0,01
Y,00:00:00:000,fire,6-3,out,0,01
