Y,00:00:00:000,,19-10,,1,
Y,00:01:11:973,forestfire,18-11,out,2.19956,02
Y,00:02:23:946,forestfire,17-12,out,3.39912,02
Y,00:02:59:049,forestfire,19-11,out,3.98415,02
Y,00:02:59:049,forestfire,18-10,out,3.98415,02
Y,00:03:35:919,forestfire,16-13,out,4.59867,02
Y,00:04:11:022,forestfire,18-12,out,5.18371,02
Y,00:04:11:022,forestfire,17-11,out,5.18371,02
Y,00:04:47:892,forestfire,15-14,out,5.79823,02
Y,00:05:00:000,forestfire,0-27,out,-1,02
Y,00:05:00:000,forestfire,0-28,out,-1,02
Y,00:05:00:000,forestfire,0-29,out,-1,02
Y,00:05:22:995,forestfire,17-13,out,6.38327,02
Y,00:05:22:995,forestfire,16-12,out,6.38327,02
Y,00:05:58:098,forestfire,19-12,out,6.96831,02
Y,00:05:58:098,forestfire,17-10,out,6.96831,02
Y,00:05:59:865,forestfire,14-15,out,6.99779,02
Y,00:06:34:968,forestfire,16-14,out,7.58283,02
Y,00:06:34:968,forestfire,15-13,out,7.58283,02
Y,00:07:10:071,forestfire,18-13,out,8.16786,02
Y,00:07:10:071,forestfire,16-11,out,8.16786,02
Y,00:07:11:838,forestfire,13-16,out,8.19735,02
Y,00:07:46:941,forestfire,15-15,out,8.78238,02
Y,00:07:46:941,forestfire,14-14,out,8.78238,02
Y,00:08:00:000,forestfire,1-29,out,-1,02
Y,00:08:00:000,forestfire,1-28,out,-1,02
Y,00:08:00:000,forestfire,1-27,out,-1,02
Y,00:08:00:000,forestfire,0-26,out,-1,02
Y,00:08:22:044,forestfire,17-14,out,9.36742,02
Y,00:08:22:044,forestfire,15-12,out,9.36742,02
Y,00:08:23:811,forestfire,12-17,out,9.3969,02
Y,00:08:57:147,forestfire,19-13,out,9.95246,02
Y,00:08:57:147,forestfire,16-10,out,9.95246,02
Y,00:08:58:914,forestfire,14-16,out,9.98194,02
Y,00:08:58:914,forestfire,13-15,out,9.98194,02
Y,00:09:34:017,forestfire,16-15,out,10.56698,02
Y,00:09:34:017,forestfire,14-13,out,10.56698,02
Y,00:09:35:784,forestfire,11-18,out,10.59646,02
Y,00:10:09:120,forestfire,18-14,out,11.15202,02
Y,00:10:09:120,forestfire,15-11,out,11.15202,02
Y,00:10:10:887,forestfire,13-17,out,11.1815,02
Y,00:10:10:887,forestfire,12-16,out,11.1815,02
Y,00:10:45:990,forestfire,15-16,out,11.76654,02
Y,00:10:45:990,forestfire,13-14,out,11.76654,02
Y,00:10:47:757,forestfire,10-19,out,11.79602,02
Y,00:11:00:000,forestfire,2-29,out,-1,02
Y,00:11:00:000,forestfire,2-28,out,-1,02
Y,00:11:00:000,forestfire,2-27,out,-1,02
Y,00:11:00:000,forestfire,1-26,out,-1,02
Y,00:11:00:000,forestfire,0-25,out,-1,02
Y,00:11:21:093,forestfire,17-15,out,12.35158,02
Y,00:11:21:093,forestfire,14-12,out,12.35158,02
Y,00:11:22:860,forestfire,12-18,out,12.38106,02
Y,00:11:22:860,forestfire,11-17,out,12.38106,02
Y,00:11:30:766,forestfire,20-11,out,12.51278,02
Y,00:11:30:766,forestfire,18-9,out,12.51278,02
Y,00:11:56:196,forestfire,19-14,out,12.93661,02
Y,00:11:56:196,forestfire,15-10,out,12.93661,02
Y,00:11:57:963,forestfire,14-17,out,12.96609,02
Y,00:11:57:963,forestfire,12-15,out,12.96609,02
Y,00:11:59:730,forestfire,9-20,out,12.99558,02
Y,00:12:33:066,forestfire,16-16,out,13.55113,02
Y,00:12:33:066,forestfire,13-13,out,13.55113,02
Y,00:12:34:833,forestfire,11-19,out,13.58061,02
Y,00:12:34:833,forestfire,10-18,out,13.58061,02
Y,00:13:08:169,forestfire,18-15,out,14.13617,02
Y,00:13:08:169,forestfire,14-11,out,14.13617,02
Y,00:13:09:936,forestfire,13-18,out,14.16565,02
Y,00:13:09:936,forestfire,11-16,out,14.16565,02
Y,00:13:11:703,forestfire,8-21,out,14.19513,02
Y,00:13:17:842,forestfire,20-10,out,14.29737,02
Y,00:13:45:039,forestfire,15-17,out,14.75069,02
Y,00:13:45:039,forestfire,12-14,out,14.75069,02
Y,00:13:46:806,forestfire,10-20,out,14.78017,02
Y,00:13:46:806,forestfire,9-19,out,14.78017,02
