Y,78:00:00:000,f1,out_water_type,top,2
X,78:00:00:000,top,in_field,wm,1
X,78:00:00:000,top,in_surface,wm,100
X,78:00:00:000,top,in_type,wm,2
X,78:00:00:000,wm,in_field,que_wm,1
X,78:00:00:000,wm,in_surface,que_wm,100
X,78:00:00:000,wm,in_type,que_wm,2
Y,78:00:00:000,que_wm,out_id,wm,4
Y,78:00:00:000,que_wm,out_surface,wm,100
Y,78:00:00:000,que_wm,out_type,wm,2
X,78:00:00:000,wm,in_id,irrigator,4
X,78:00:00:000,wm,in_surface,irrigator,100
X,78:00:00:000,wm,in_type,irrigator,2
Y,83:00:00:000,irrigator,out_id,wm,4
X,83:00:00:000,wm,in_done,que_wm,4
Y,83:00:00:000,que_wm,out_field_1,wm,4
Y,83:00:00:000,wm,out_field_1,top,4
X,83:00:00:000,top,in_done,f1,4
Y,107:00:00:000,f1,out_water_field,top,1
Y,107:00:00:000,f1,out_water_surface,top,100
Y,107:00:00:000,f1,out_water_type,top,2
X,107:00:00:000,top,in_field,wm,1
X,107:00:00:000,top,in_surface,wm,100
X,107:00:00:000,top,in_type,wm,2
X,107:00:00:000,wm,in_field,que_wm,1
X,107:00:00:000,wm,in_surface,que_wm,100
X,107:00:00:000,wm,in_type,que_wm,2
Y,107:00:00:000,que_wm,out_id,wm,5
Y,107:00:00:000,que_wm,out_surface,wm,100
Y,107:00:00:000,que_wm,out_type,wm,2
X,107:00:00:000,wm,in_id,irrigator,5
X,107:00:00:000,wm,in_surface,irrigator,100
X,107:00:00:000,wm,in_type,irrigator,2
Y,112:00:00:000,irrigator,out_id,wm,5
X,112:00:00:000,wm,in_done,que_wm,5
Y,112:00:00:000,que_wm,out_field_1,wm,5
Y,112:00:00:000,wm,out_field_1,top,5
X,112:00:00:000,top,in_done,f1,5
Y,120:00:00:000,sower,out_id,sm,3
X,120:00:00:000,sm,in_done,que_sm,3
Y,120:00:00:000,que_sm,out_field_3,sm,3
Y,120:00:00:000,sm,out_field_3,top,3
X,120:00:00:000,top,in_done,f3,3
Y,120:00:00:000,f3,out_water_field,top,3
Y,120:00:00:000,f3,out_water_surface,top,300
Y,120:00:00:000,f3,out_water_type,top,1
X,120:00:00:000,top,in_field,wm,3
X,120:00:00:000,top,in_surface,wm,300
X,120:00:00:000,top,in_type,wm,1
X,120:00:00:000,wm,in_field,que_wm,3
X,120:00:00:000,wm,in_surface,que_wm,300
X,120:00:00:000,wm,in_type,que_wm,1
Y,120:00:00:000,que_wm,out_id,wm,6
Y,120:00:00:000,que_wm,out_surface,wm,300
Y,120:00:00:000,que_wm,out_type,wm,1
X,120:00:00:000,wm,in_id,irrigator,6
X,120:00:00:000,wm,in_surface,irrigator,300
