Y,00:00:00:000,lug,0-0-0,out,lug,100
Y,00:00:00:000,lug,0-0-1,out,lug,0.567
Y,00:00:00:000,lug,0-1-0,out,lug,100
Y,00:00:00:000,lug,0-1-1,out,lug,0.567
Y,00:00:00:000,lug,0-2-0,out,lug,100
Y,00:00:00:000,lug,0-2-1,out,lug,0.567
Y,00:00:00:000,lug,0-3-0,out,lug,100
Y,00:00:00:000,lug,0-3-1,out,lug,0.566
Y,00:00:00:000,lug,0-4-0,out,lug,100
Y,00:00:00:000,lug,0-4-1,out,lug,0.566
Y,00:00:00:000,lug,0-5-0,out,lug,100
Y,00:00:00:000,lug,0-5-1,out,lug,0.566
Y,00:00:00:000,lug,0-6-0,out,lug,100
Y,00:00:00:000,lug,0-6-1,out,lug,0.565
Y,00:00:00:000,lug,0-7-0,out,lug,100
Y,00:00:00:000,lug,0-7-1,out,lug,0.565
Y,00:00:00:000,lug,0-8-0,out,lug,100
Y,00:00:00:000,lug,0-8-1,out,lug,0.564
Y,00:00:00:000,lug,0-9-0,out,lug,100
Y,00:00:00:000,lug,0-9-1,out,lug,0.564
Y,00:00:00:000,lug,0-10-0,out,lug,100
Y,00:00:00:000,lug,0-10-1,out,lug,0.563
Y,00:00:00:000,lug,0-11-0,out,lug,100
Y,00:00:00:000,lug,0-11-1,out,lug,0.563
Y,00:00:00:000,lug,0-12-0,out,lug,100
Y,00:00:00:000,lug,0-12-1,out,lug,0.563
Y,00:00:00:000,lug,0-13-0,out,lug,100
Y,00:00:00:000,lug,0-13-1,out,lug,0.562
Y,00:00:00:000,lug,0-14-0,out,lug,100
Y,00:00:00:000,lug,0-14-1,out,lug,0.562
Y,00:00:00:000,lug,0-15-0,out,lug,100
Y,00:00:00:000,lug,0-15-1,out,lug,0.561
Y,00:00:00:000,lug,0-16-0,out,lug,100
Y,00:00:00:000,lug,0-16-1,out,lug,0.561
Y,00:00:00:000,lug,0-17-0,out,lug,100
Y,00:00:00:000,lug,0-17-1,out,lug,0.56
Y,00:00:00:000,lug,0-18-0,out,lug,100
Y,00:00:00:000,lug,0-18-1,out,lug,0.56
Y,00:00:00:000,lug,0-19-0,out,lug,100
Y,00:00:00:000,lug,0-19-1,out,lug,0.559
Y,00:00:00:000,lug,0-20-0,out,lug,100
Y,00:00:00:000,lug,0-20-1,out,lug,0.559
Y,00:00:00:000,lug,0-21-0,out,lug,100
Y,00:00:00:000,lug,0-21-1,out,lug,0.558
Y,00:00:00:000,lug,0-22-0,out,lug,100
Y,00:00:00:000,lug,0-22-1,out,lug,0.557
Y,00:00:00:000,lug,0-23-0,out,lug,100
Y,00:00:00:000,lug,0-23-1,out,lug,0.557
Y,00:00:00:000,lug,0-24-0,out,lug,100
Y,00:00:00:000,lug,0-24-1,out,lug,0.556
Y,00:00:00:000,lug,0-25-0,out,lug,100
Y,00:00:00:000,lug,0-25-1,out,lug,0.556
Y,00:00:00:000,lug,0-26-0,out,lug,100
Y,00:00:00:000,lug,0-26-1,out,lug,0.555
Y,00:00:00:000,lug,0-27-0,out,lug,100
Y,00:00:00:000,lug,0-27-1,out,lug,0.555
Y,00:00:00:000,lug,0-28-0,out,lug,100
Y,00:00:00:000,lug,0-28-1,out,lug,0.554
Y,00:00:00:000,lug,0-29-0,out,lug,100
Y,00:00:00:000,lug,0-29-1,out,lug,0.553
Y,00:00:00:000,lug,0-30-0,out,lug,100
