X,60:00:00:000,wm,wm,in_type,3,que_wm
Y,60:00:00:000,que_wm,que_wm,out_id,3,wm
Y,60:00:00:000,que_wm,que_wm,out_surface,200,wm
Y,60:00:00:000,que_wm,que_wm,out_type,3,wm
X,60:00:00:000,wm,wm,in_id,3,irrigator
X,60:00:00:000,wm,wm,in_surface,200,irrigator
X,60:00:00:000,wm,wm,in_type,3,irrigator
Y,70:00:00:000,irrigator,irrigator,out_id,3,wm
X,70:00:00:000,wm,wm,in_done,3,que_wm
Y,70:00:00:000,que_wm,que_wm,out_field_2,3,wm
Y,70:00:00:000,wm,wm,out_field_2,3,top
X,70:00:00:000,top,top,in_done,3,f2
Y,78:00:00:000,f1,f1,out_water_field,1,top
Y,78:00:00:000,f1,f1,out_water_surface,100,top
Y,78:00:00:000,f1,f1,out_water_type,2,top
X,78:00:00:000,top,top,in_field,1,wm
X,78:00:00:000,top,top,in_surface,100,wm
X,78:00:00:000,top,top,in_type,2,wm
X,78:00:00:000,wm,wm,in_field,1,que_wm
X,78:00:00:000,wm,wm,in_surface,100,que_wm
X,78:00:00:000,wm,wm,in_type,2,que_wm
Y,78:00:00:000,que_wm,que_wm,out_id,4,wm
Y,78:00:00:000,que_wm,que_wm,out_surface,100,wm
Y,78:00:00:000,que_wm,que_wm,out_type,2,wm
X,78:00:00:000,wm,wm,in_id,4,irrigator
X,78:00:00:000,wm,wm,in_surface,100,irrigator
X,78:00:00:000,wm,wm,in_type,2,irrigator
Y,83:00:00:000,irrigator,irrigator,out_id,4,wm
X,83:00:00:000,wm,wm,in_done,4,que_wm
Y,83:00:00:000,que_wm,que_wm,out_field_1,4,wm
Y,83:00:00:000,wm,wm,out_field_1,4,top
X,83:00:00:000,top,top,in_done,4,f1
Y,107:00:00:000,f1,f1,out_water_field,1,top
Y,107:00:00:000,f1,f1,out_water_surface,100,top
Y,107:00:00:000,f1,f1,out_water_type,2,top
X,107:00:00:000,top,top,in_field,1,wm
X,107:00:00:000,top,top,in_surface,100,wm
X,107:00:00:000,top,top,in_type,2,wm
X,107:00:00:000,wm,wm,in_field,1,que_wm
X,107:00:00:000,wm,wm,in_surface,100,que_wm
X,107:00:00:000,wm,wm,in_type,2,que_wm
Y,107:00:00:000,que_wm,que_wm,out_id,5,wm
Y,107:00:00:000,que_wm,que_wm,out_surface,100,wm
Y,107:00:00:000,que_wm,que_wm,out_type,2,wm
X,107:00:00:000,wm,wm,in_id,5,irrigator
X,107:00:00:000,wm,wm,in_surface,100,irrigator
X,107:00:00:000,wm,wm,in_type,2,irrigator
Y,112:00:00:000,irrigator,irrigator,out_id,5,wm
X,112:00:00:000,wm,wm,in_done,5,que_wm
Y,112:00:00:000,que_wm,que_wm,out_field_1,5,wm
Y,112:00:00:000,wm,wm,out_field_1,5,top
X,112:00:00:000,top,top,in_done,5,f1
Y,120:00:00:000,sower,sower,out_id,3,sm
X,120:00:00:000,sm,sm,in_done,3,que_sm
Y,120:00:00:000,que_sm,que_sm,out_field_3,3,sm
Y,120:00:00:000,sm,sm,out_field_3,3,top
X,120:00:00:000,top,top,in_done,3,f3
Y,120:00:00:000,f3,f3,out_water_field,3,top
Y,120:00:00:000,f3,f3,out_water_surface,300,top
Y,120:00:00:000,f3,f3,out_water_type,1,top
X,120:00:00:000,top,top,in_field,3,wm
X,120:00:00:000,top,top,in_surface,300,wm
X,120:00:00:000,top,top,in_type,1,wm
X,120:00:00:000,wm,wm,in_field,3,que_wm
X,120:00:00:000,wm,wm,in_surface,300,que_wm
X,120:00:00:000,wm,wm,in_type,1,que_wm
Y,120:00:00:000,que_wm,que_wm,out_id,6,wm
Y,120:00:00:000,que_wm,que_wm,out_surface,300,wm
Y,120:00:00:000,que_wm,que_wm,out_type,1,wm
X,120:00:00:000,wm,wm,in_id,6,irrigator
X,120:00:00:000,wm,wm,in_surface,300,irrigator
X,120:00:00:000,wm,wm,in_type,1,irrigator
Y,135:00:00:000,irrigator,irrigator,out_id,6,wm
X,135:00:00:000,wm,wm,in_done,6,que_wm
Y,135:00:00:000,que_wm,que_wm,out_field_3,6,wm
Y,135:00:00:000,wm,wm,out_field_3,6,top
X,135:00:00:000,top,top,in_done,6,f3
Y,136:00:00:000,f1,f1,out_water_field,1,top
Y,136:00:00:000,f1,f1,out_water_surface,100,top
Y,136:00:00:000,f1,f1,out_water_type,2,top
X,136:00:00:000,top,top,in_field,1,wm
X,136:00:00:000,top,top,in_surface,100,wm
X,136:00:00:000,top,top,in_type,2,wm
X,136:00:00:000,wm,wm,in_field,1,que_wm
X,136:00:00:000,wm,wm,in_surface,100,que_wm
X,136:00:00:000,wm,wm,in_type,2,que_wm
Y,136:00:00:000,que_wm,que_wm,out_id,7,wm
Y,136:00:00:000,que_wm,que_wm,out_surface,100,wm
Y,136:00:00:000,que_wm,que_wm,out_type,2,wm
X,136:00:00:000,wm,wm,in_id,7,irrigator
X,136:00:00:000,wm,wm,in_surface,100,irrigator
X,136:00:00:000,wm,wm,in_type,2,irrigator
Y,141:00:00:000,irrigator,irrigator,out_id,7,wm
X,141:00:00:000,wm,wm,in_done,7,que_wm
Y,141:00:00:000,que_wm,que_wm,out_field_1,7,wm
Y,141:00:00:000,wm,wm,out_field_1,7,top
X,141:00:00:000,top,top,in_done,7,f1
Y,142:00:00:000,f2,f2,out_water_field,2,top
Y,142:00:00:000,f2,f2,out_water_surface,200,top
Y,142:00:00:000,f2,f2,out_water_type,3,top
X,142:00:00:000,top,top,in_field,2,wm
X,142:00:00:000,top,top,in_surface,200,wm
X,142:00:00:000,top,top,in_type,3,wm
X,142:00:00:000,wm,wm,in_field,2,que_wm
X,142:00:00:000,wm,wm,in_surface,200,que_wm
X,142:00:00:000,wm,wm,in_type,3,que_wm
Y,142:00:00:000,que_wm,que_wm,out_id,8,wm
Y,142:00:00:000,que_wm,que_wm,out_surface,200,wm
Y,142:00:00:000,que_wm,que_wm,out_type,3,wm
X,142:00:00:000,wm,wm,in_id,8,irrigator
X,142:00:00:000,wm,wm,in_surface,200,irrigator
X,142:00:00:000,wm,wm,in_type,3,irrigator
Y,152:00:00:000,irrigator,irrigator,out_id,8,wm
X,152:00:00:000,wm,wm,in_done,8,que_wm
Y,152:00:00:000,que_wm,que_wm,out_field_2,8,wm
Y,152:00:00:000,wm,wm,out_field_2,8,top
X,152:00:00:000,top,top,in_done,8,f2
Y,165:00:00:000,f1,f1,out_water_field,1,top
Y,165:00:00:000,f1,f1,out_water_surface,100,top
Y,165:00:00:000,f1,f1,out_water_type,2,top
X,165:00:00:000,top,top,in_field,1,wm
X,165:00:00:000,top,top,in_surface,100,wm
X,165:00:00:000,top,top,in_type,2,wm
X,165:00:00:000,wm,wm,in_field,1,que_wm
X,165:00:00:000,wm,wm,in_surface,100,que_wm
X,165:00:00:000,wm,wm,in_type,2,que_wm
Y,165:00:00:000,que_wm,que_wm,out_id,9,wm
Y,165:00:00:000,que_wm,que_wm,out_surface,100,wm
Y,165:00:00:000,que_wm,que_wm,out_type,2,wm
X,165:00:00:000,wm,wm,in_id,9,irrigator
X,165:00:00:000,wm,wm,in_surface,100,irrigator
X,165:00:00:000,wm,wm,in_type,2,irrigator
Y,170:00:00:000,irrigator,irrigator,out_id,9,wm
X,170:00:00:000,wm,wm,in_done,9,que_wm
Y,170:00:00:000,que_wm,que_wm,out_field_1,9,wm
Y,170:00:00:000,wm,wm,out_field_1,9,top
X,170:00:00:000,top,top,in_done,9,f1
Y,183:00:00:000,f3,f3,out_water_field,3,top
Y,183:00:00:000,f3,f3,out_water_surface,300,top
Y,183:00:00:000,f3,f3,out_water_type,1,top
X,183:00:00:000,top,top,in_field,3,wm
X,183:00:00:000,top,top,in_surface,300,wm
X,183:00:00:000,top,top,in_type,1,wm
X,183:00:00:000,wm,wm,in_field,3,que_wm
X,183:00:00:000,wm,wm,in_surface,300,que_wm
X,183:00:00:000,wm,wm,in_type,1,que_wm
Y,183:00:00:000,que_wm,que_wm,out_id,10,wm
Y,183:00:00:000,que_wm,que_wm,out_surface,300,wm
Y,183:00:00:000,que_wm,que_wm,out_type,1,wm
